"","route","date","rides"
"768","103","03/2003",3035.77419354839
"769","103","04/2003",3062.8
"770","103","05/2003",3211.77419354839
"771","103","06/2003",2810.2
"772","103","07/2003",2315.93548387097
"773","103","08/2003",2197.25806451613
"774","103","09/2003",3229.5
"775","103","10/2003",3237
"776","103","11/2003",2807.13333333333
"777","103","12/2003",2815.09677419355
"778","103","01/2004",2824
"779","103","02/2004",2948.72413793103
"780","103","03/2004",3129.74193548387
"781","103","04/2004",2826.53333333333
"782","103","05/2004",3162.16129032258
"783","103","06/2004",2949.5
"784","103","07/2004",2464.29032258065
"785","103","08/2004",2351.16129032258
"786","103","09/2004",3902.63333333333
"787","103","10/2004",3612.70967741935
"788","103","11/2004",3390.03333333333
"789","103","12/2004",2880.48387096774
"790","103","01/2005",3011.38709677419
"791","103","02/2005",3501.57142857143
"792","103","03/2005",3111.32258064516
"793","103","04/2005",3248.1
"794","103","05/2005",3262.38709677419
"795","103","06/2005",2860.13333333333
"796","103","07/2005",2529.35483870968
"797","103","08/2005",2783.67741935484
"798","103","09/2005",3492.66666666667
"799","103","10/2005",3485.51612903226
"800","103","11/2005",3113.26666666667
"801","103","12/2005",2841.16129032258
"802","103","01/2006",2892.38709677419
"803","103","02/2006",3343.10714285714
"804","103","03/2006",3475.74193548387
"805","103","04/2006",2886.66666666667
"806","103","05/2006",3394
"807","103","06/2006",2825.53333333333
"808","103","07/2006",2315.67741935484
"809","103","08/2006",2488.74193548387
"810","103","09/2006",3105.2
"811","103","10/2006",3123.1935483871
"812","103","11/2006",2894.1
"813","103","12/2006",2649.03225806452
"814","103","01/2007",2713.51612903226
"815","103","02/2007",2810.28571428571
"816","103","03/2007",3115.70967741935
"817","103","04/2007",2725.46666666667
"818","103","05/2007",3042.16129032258
"819","103","06/2007",2589.33333333333
"820","103","07/2007",2460.58064516129
"821","103","08/2007",2512.48387096774
"822","103","09/2007",3125.76666666667
"823","103","10/2007",3293.32258064516
"824","103","11/2007",2879.7
"825","103","12/2007",2606.96774193548
"826","103","01/2008",2789.38709677419
"827","103","02/2008",2923.31034482759
"828","103","03/2008",2853.61290322581
"829","103","04/2008",3278.4
"830","103","05/2008",3273.93548387097
"831","103","06/2008",2913.9
"832","103","07/2008",2891.45161290323
"833","103","08/2008",2755.61290322581
"834","103","09/2008",3672.03333333333
"835","103","10/2008",3694.51612903226
"836","103","11/2008",3091.53333333333
