"","Date","rides"
"1009",2003-10-06,1014126
"1010",2003-10-07,1046648
"1011",2003-10-08,1023542
"1012",2003-10-09,1008070
"1013",2003-10-10,1027130
"1014",2003-10-11,624605
"1015",2003-10-12,406976
"1016",2003-10-13,777402
"1017",2003-10-14,923896
"1018",2003-10-15,1021566
"1019",2003-10-16,1008222
"1020",2003-10-17,1019662
"1021",2003-10-18,630466
"1022",2003-10-19,420214
"1023",2003-10-20,1073692
"1024",2003-10-21,955666
"1025",2003-10-22,999560
"1026",2003-10-23,1002979
"1027",2003-10-24,1005382
"1028",2003-10-25,610474
"1029",2003-10-26,394013
"1030",2003-10-27,986501
"1031",2003-10-28,975274
"1032",2003-10-29,983523
"1033",2003-10-30,1001958
"1034",2003-10-31,993618
"1035",2003-11-01,604462
"1036",2003-11-02,395082
"1037",2003-11-03,1004519
"1038",2003-11-04,1000030
"1039",2003-11-05,1012289
"1040",2003-11-06,1011183
"1041",2003-11-07,904206
"1042",2003-11-08,564182
"1043",2003-11-09,381950
"1044",2003-11-10,977235
"1045",2003-11-11,786682
"1046",2003-11-12,974109
"1047",2003-11-13,898237
"1048",2003-11-14,956679
"1049",2003-11-15,564969
